id,type,timestamp,image_path
1,Oclusion-Reaparecido,20251114_054553,captures/occlusion_alert_ID1_20251114_054553_0.jpg
0,oclusion-reaparecido,20251114_071316,captures/occlusion_alert_ID0_20251114_071316_0.jpg
